,vulnName,changeset,CVE,BID,BugzillaOpendate,reporttime,patchrelease
1185,1342567,30ba0234b771,CVE-2017-5470,99041,2017-02-24,2017-06-13,2017-06-13
1186,1342661,a7744be94bea f6bc529e2121,CVE-2017-5443,97940,2017-02-25,2017-04-19,2017-04-19
1187,1343453,742d73198be8 b2299dd1dc57 ed77e7b7d76e,CVE-2016-10196,,2017-02-28,2017-03-15,2017-04-19
1188,1343505,462fa21070f5 bd23131fffca,CVE-2017-5446,97940,2017-03-01,2017-04-19,2017-04-19
1189,1343513,4699504e17ba c68908b7f6f8 2abf82f6b8dc,CVE-2017-5399,96692,2017-03-01,2017-03-07,2017-03-07
1190,1343552,858b0ab812df ec851660c406 ef9c28e77417 ddbca773eb53,CVE-2017-5447,97940,2017-03-01,2017-04-19,2017-04-19
1191,1343642,ff4d427b2175 c37c3d435caf,CVE-2017-5460,97940,2017-03-01,2017-04-19,2017-04-19
1192,1343795,4d78529c42a3 208797caef2f,CVE-2017-5441,97940,2017-03-02,2017-04-19,2017-04-19
1193,1344034,cc20d9ee0ef9,CVE-2017-7782,100243,2017-03-02,2017-08-08,2017-08-08
1194,1344081,89e07f8033ba 0a56c49e7e25,CVE-2017-5430,97940,2017-03-02,2017-04-19,2017-04-19
1195,1344305,1ef29f2ba069 862d2e094bd4,CVE-2017-5430,97940,2017-03-03,2017-04-19,2017-04-19
1196,1344415,076416de2886 b961126da5f0,CVE-2017-5456,97940,2017-03-03,2017-04-19,2017-04-19
1197,1344461,d5511eaf29c9 1171236daacc,CVE-2017-5444,97940,2017-03-04,2017-04-19,2017-04-19
1198,1344686,fed3d83c96b9 7b852b975005,CVE-2017-5430,97940,2017-03-06,2017-04-19,2017-04-19
1199,1345461,1831b8da127f 7f5193633d2e,CVE-2017-5436,97940,2017-03-08,2017-04-19,2017-04-19
1200,1346012,4b43e1c02d4f,CVE-2017-5470,99041,2017-03-09,2017-06-13,2017-06-13
1201,1346140,286da438411a df0808040376,CVE-2017-5430,97940,2017-03-10,2017-04-19,2017-04-19
1202,1346419,a5c9e68a808f 39bd60385e74,CVE-2017-5430,97940,2017-03-10,2017-04-19,2017-04-19
1203,1346590,b99ff3a0012c abd7d1893a23,CVE-2017-7779,100201,2017-03-11,2017-08-08,2017-08-08
1204,1346648,9e43e1f59479 d1a93263a03d,CVE-2017-5448,97940,2017-03-12,2017-04-19,2017-04-19
1205,1346654,002894b14f92 2556b0e3698c,CVE-2017-5432,97940,2017-03-12,2017-04-19,2017-04-19
1206,1347075,8da6e9aa2b0f 88fce9c3223f,CVE-2017-5464,97940,2017-03-14,2017-04-19,2017-04-19
1207,1347168,476badc4efc5 c5cc62e792d9,CVE-2017-5433,97940,2017-03-14,2017-04-19,2017-04-19
1208,1347262,bb3a786dfee3 759f2057584d,CVE-2017-5467,97940,2017-03-14,2017-04-19,2017-04-19
1209,1347617,8ddc4fb22781 3972c6e42982,CVE-2017-5465,97940,2017-03-15,2017-04-19,2017-04-19
1210,1347748,bbbe973da643,CVE-2017-5470,99041,2017-03-15,2017-06-13,2017-06-13
1211,1347979,a4aa69a09ca2 b2be2b8f74bb,CVE-2017-5442,97940,2017-03-16,2017-04-19,2017-04-19
1212,1348143,0583275688f1 c21f6a37628a,CVE-2017-5430,97940,2017-03-16,2017-04-19,2017-04-19
1213,1348168,dff5f8de5eed 20f404abbe68 2f2b4a119565 8b220daf2d2a,CVE-2017-5428,96959,2017-03-16,2017-03-17,2017-03-17
1214,1348424,21bcd10f1a10 8619db383886,CVE-2017-5470,99041,2017-03-17,2017-06-13,2017-06-13
1215,1348894,fa249f1c6793 8c06f4260c2e,CVE-2017-5429,97940,2017-03-20,2017-04-19,2017-04-19
1216,1348941,e1e5ac908ce3 47919d9e58bf,CVE-2017-5429,97940,2017-03-20,2017-04-19,2017-04-19
1217,1349266,bafab90a3515,CVE-2017-5470,99041,2017-03-21,2017-06-13,2017-06-13
1218,1349276,42a43de3d64f 0c03035155c5,CVE-2017-5454,97940,2017-03-21,2017-04-19,2017-04-19
1219,1349340,b8e229e6bed2 6fad55fc79fa,CVE-2017-5429,97940,2017-03-21,2017-04-19,2017-04-19
1220,1349595,e664fb8bf2fd,CVE-2017-5470,99041,2017-03-22,2017-06-13,2017-06-13
1221,1349719,66f1093c8d59 d2a680d1fbd8,CVE-2017-5430,97940,2017-03-22,2017-04-19,2017-04-19
1222,1349946,40527edab13c cd266019f9ee,CVE-2017-5434,97940,2017-03-23,2017-04-19,2017-04-19
1223,1350460,ba5a351909cc,CVE-2017-7790,,2017-03-24,2018-06-11,2017-08-08
1224,1350683,83f643b4880a 7b103a5d2f60,CVE-2017-5435,97940,2017-03-26,2017-04-19,2017-04-19
1225,1352073,eb51d84e5209,CVE-2017-5471,99042,2017-03-30,2017-06-13,2017-06-13
1226,1352093,fe9a9a0ccf20,CVE-2017-5470,99041,2017-03-30,2017-06-13,2017-06-13
1227,1352556,49be8c224dea,CVE-2017-5470,99041,2017-03-31,2017-06-13,2017-06-13
1228,1352926,82a45421cc35 474495111e54,CVE-2017-5429,97940,2017-04-02,2017-04-19,2017-04-19
1229,1353088,ef9f29a17da0 c4bcbbdbf8aa,CVE-2017-5429,97940,2017-04-03,2017-04-19,2017-04-19
1230,1353356,187554939350,CVE-2017-7780,100199,2017-04-04,2017-08-08,2017-08-08
1231,1353476,893b218745aa 9b81631b130a,CVE-2017-5430,97940,2017-04-04,2017-04-19,2017-04-19
1232,1353975,e774d2cb0fc5,CVE-2017-5466,97940,2017-04-05,2017-04-19,2017-04-19
1233,1354853,b0a01d9a5589,CVE-2017-5471,99042,2017-04-08,2017-06-13,2017-06-13
1234,1355039,f37ddc924762,CVE-2017-7749,99057,2017-04-10,2017-06-13,2017-06-13
1235,1356025,1094b15fa46e,CVE-2017-5470,99041,2017-04-12,2017-06-13,2017-06-13
1236,1356558,b9651edd0f5c,CVE-2017-7750,99057,2017-04-14,2017-06-13,2017-06-13
1237,1356824,cb4a4275b365,CVE-2017-7757,99057,2017-04-15,2017-06-13,2017-06-13
1238,1357090,dc0239918676,CVE-2017-7754,99057,2017-04-17,2017-06-13,2017-06-13
1239,1357462,ff1cbde07042,CVE-2017-5470,99041,2017-04-18,2017-06-13,2017-06-13
1240,1359547,a1f55676508b,CVE-2017-7752,99057,2017-04-25,2017-06-13,2017-06-13
1241,1359639,2be2b90e9c07,CVE-2017-5470,99041,2017-04-25,2017-06-13,2017-06-13
1242,1360852,4c630b9a7d2f,CVE-2017-5471,99042,2017-04-29,2017-06-13,2017-06-13
1243,1361098,702b6b99b181,CVE-2017-5471,99042,2017-05-01,2017-06-13,2017-06-13
1244,1361326,61932206bf73,CVE-2017-7755,99057,2017-05-02,2017-06-13,2017-06-13
1245,1361749,6aa9b5172e88 14990dfd94dd d7f069fa65d7 1a826ca2c7c0 d7a57f76f0ef 35c7efc47b1f ab36c381d34f,CVE-2017-7780,100199,2017-05-03,2017-08-08,2017-08-08
1246,1362590,c100ae56e585,CVE-2017-5470,99041,2017-05-05,2017-06-13,2017-06-13
1247,1363150,b14e3c9ba39c,CVE-2017-7780,100199,2017-05-08,2017-08-08,2017-08-08
1248,1363280,bab3097aa251,CVE-2017-5470,99041,2017-05-08,2017-06-13,2017-06-13
1249,1363396,4217bd24eb34,CVE-2017-7751,99057,2017-05-09,2017-06-13,2017-06-13
1250,1364283,02e5b298abed,CVE-2017-7764,99057,2017-05-11,2017-06-13,2017-06-13
1251,1365602,72da880beaeb,CVE-2017-5472,99040,2017-05-17,2017-06-13,2017-06-13
1252,1365894,3959033a3166 a4dfb0e4ad97,CVE-2017-7827,101832,2017-05-18,2017-11-14,2017-11-14
1253,1366140,39a7c0a52191,CVE-2017-5470,99041,2017-05-18,2017-06-13,2017-06-13
1254,1366446,380ace0289a5,CVE-2017-5471,99042,2017-05-19,2017-06-13,2017-06-13
1255,1366595,d3ce3e3812c9,CVE-2017-7756,99057,2017-05-21,2017-06-13,2017-06-13
1256,1366903,d9489f5df7be 852280fdf31d,CVE-2017-7779,100201,2017-05-22,2017-08-08,2017-08-08
1257,1367692,d8424bcbf72f,CVE-2017-5470,99041,2017-05-25,2017-06-13,2017-06-13
1258,1368105,283a49e31a9d 9071d8e96fc8,CVE-2017-7779,100201,2017-05-26,2017-08-08,2017-08-08
1259,1368362,9315eabc7fb0 6223be841811,CVE-2017-7779,100201,2017-05-28,2017-08-08,2017-08-08
1260,1368490,9589dfc1041b,CVE-2017-7758,99057,2017-05-29,2017-06-13,2017-06-13
1261,1368652,01992997c2bb b274e6e81c8b 3582719c52de,CVE-2017-7792,100206,2017-05-30,2017-08-08,2017-08-08
1262,1369560,b790f9291cdb d2273fb5bca3,CVE-2017-7811,101057,2017-06-01,2017-09-28,2017-09-28
1263,1369561,f5533b6cd09c 0893b7f1f14a,CVE-2017-7826,101832,2017-06-01,2017-11-14,2017-11-14
