,vulnName,CVE,BID,reporttime,patchrelease
73,32-015_realpath,CVE-2003-0466,8315,2003-07-31,2003-08-04
74,32-008_httpd,CVE-2003-1418,6939 6943,2003-02-25,2003-02-25
75,33-022_cvs,,,,2004-05-05
76,33-019_httpd2,CVE-2004-2338,9867,2004-03-14,2004-03-13
77,33-016_ip6,CVE-2004-0257,9577,2004-02-04,2004-02-08
78,33-015_sysvshm,CVE-2004-0114,9586,2004-02-05,2004-02-05
79,33-003_sysvsem,,,,2003-09-10
80,34-035_pfkey,CVE-2004-2230,11928,2004-12-14,2004-12-13
81,34-031_radius,CVE-2004-2163,11227,2004-09-21,2004-09-20
82,34-029_httpd4,,,,2004-09-10
83,34-025_httpd3,CVE-2004-0488 CVE-2004-0492 CVE-2004-1082 CVE-2003-0020 CVE-2003-0987,9930 10355 10508 9571,2003-03-18,2004-06-12
84,34-024_isakmpd3,,,,2004-06-10
85,34-023_cvs3,CVE-2004-0418 CVE-2004-0417 CVE-2004-0416 CVE-2004-0414,10499,2004-06-09,2004-06-09
86,34-022_kerberos,CVE-2004-0371,10035,2004-04-02,2004-05-30
87,34-021_cvs2,CVE-2004-0396,10384,2004-05-19,2004-05-20
88,34-020_procfs,CVE-2004-0482,8748 83151,2003-10-02,2004-05-13
89,35-033_cvs4,CVE-2005-0753,13217,2005-04-18,2005-04-28
90,35-031_telnet,CVE-2005-0469 CVE-2005-0468,12918 12919,2005-03-28,2005-03-30
91,35-026_httpd3,,12251,2005-01-12,2005-01-12
92,36-020_libz,CVE-2005-1849,14340,2005-07-21,2005-07-21
93,36-019_libz,CVE-2005-2096,14162,2005-07-06,2005-07-06
94,36-018_sudo,CVE-2005-1993,13993,2005-06-20,2005-06-20
95,37-012_sendmail,CVE-2006-0058,17192,2006-03-22,2006-03-25
96,37-011_ssh,CVE-2006-0225,,2006-01-25,2006-02-12
97,37-008_fd,CVE-2006-0098,,2006-01-06,2006-01-05
98,37-007_perl,CVE-2005-3912 CVE-2005-3962,15629 16144,2005-11-29,2006-01-05
99,38-020_ssh2,CVE-2006-4924 CVE-2006-5051,20216 20241,2006-09-26,2006-10-12
100,38-019_systrace,CVE-2006-5218,20392,2006-10-07,2006-10-07
101,38-018_openssl2,CVE-2006-2937 CVE-2006-3738 CVE-2006-4343 CVE-2006-2940,20246 20247 20248 20249,2006-09-28,2006-10-07
102,38-017_httpd2,CVE-2006-3918,19661,2006-07-24,2006-10-07
103,38-016_openssl,CVE-2006-4339,19849,2006-09-05,2006-09-08
104,38-015_bind,CVE-2006-4095 CVE-2006-4096,19859,2006-09-05,2006-09-08
105,38-014_sppp,CVE-2006-4304,19684,2006-08-23,2006-09-02
106,38-013_isakmpd,CVE-2006-4436,19712,2006-08-25,2006-08-25
107,38-012_sem,CVE-2006-4435,19713,2006-08-25,2006-08-25
108,38-011_dhcpd,CVE-2006-3122,19348,2006-08-04,2006-08-25
109,38-010_sendmail3,CVE-2006-4434,19714,2006-08-25,2006-08-25
110,38-009_httpd,CVE-2006-3747,19204,2006-07-28,2006-07-30
111,38-008_sendmail2,CVE-2006-1173,18433,2006-06-07,2006-06-15
112,39-022_route6,CVE-2007-2242,23615,2007-04-23,2007-04-23
113,39-020_m_dup1,CVE-2007-1365,22901,2007-03-09,2007-03-07
114,39-016_ldso,CVE-2006-6164,21188,2006-11-20,2006-11-19
115,40-017_openssl,CVE-2007-5135 CVE-2007-3108,25831 25163,2007-08-01,2007-10-10
116,40-016_dhcpd,CVE-2007-5365,25984,2007-09-21,2007-10-08
117,40-015_file,CVE-2007-1536 CVE-2007-2799,23021 24146,2007-03-19,2007-07-09
118,41-016_openssh2,CVE-2008-1483,28444,2008-03-24,2008-04-03
119,41-015_openssh,CVE-2008-1657,28531,2008-03-31,2008-03-30
120,41-014_ppp,CVE-2008-1215,,2008-03-08,2008-03-07
121,42-015_ndp,CVE-2008-2476,,2008-10-03,2008-10-02
122,42-013_bind,CVE-2008-1447,30131,2008-07-08,2008-07-23
123,42-012_xorg2,CVE-2008-2360 CVE-2008-2361 CVE-2008-2362 CVE-2008-1379 CVE-2008-1377,,2008-06-16,2008-07-15
124,42-006_xorg,CVE-2007-5760 CVE-2007-5958 CVE-2007-6427 CVE-2007-6428 CVE-2007-6429 CVE-2008-0006,27350 27351 27352 27353 27354 27355 27355,2008-01-17,2008-02-08
125,43-011_sudo,CVE-2009-0034,33517,2009-01-29,2009-02-22
126,43-008_bind,CVE-2009-0025,33151,2009-01-07,2009-01-14
127,43-007_openssl,CVE-2008-5077,33150,2009-01-07,2009-01-09
128,45-016_openssl,CVE-2010-0740,39013,2010-03-24,2010-04-14
129,45-012_openssl,,,,2010-03-12
130,45-010_openssl,CVE-2009-3555,36953,2009-11-09,2009-11-26
131,47-013_pf,,,,2011-02-16
132,47-012_openssl,,,,2011-02-11
133,47-009_pf,,,,2010-12-17
134,50-002_libcrypto,CVE-2012-2110,,2012-04-19,2012-04-23
135,53-009_sshgcm,,,,2013-11-07
136,53-011_nginx,CVE-2013-4547,,2013-11-23,2013-11-21
137,53-013_libXfont,CVE-2013-6462,,2014-01-09,2014-01-10
138,53-014_openssl,,,,2014-04-08
139,53-015_openssl,CVE-2010-5298,,2014-04-14,2014-04-12
140,54-010_libXfont,CVE-2014-0209 CVE-2014-0210 CVE-2014-0211,,2014-05-15,2014-05-24
141,54-011_sendmail,CVE-2014-3956,,2014-06-04,2014-06-05
142,54-012_openssl,,,,2014-06-06
143,54-014_openssl,,,,2014-08-09
